Home.Team;Away.Team;Home.Goals;Away.Goals
Malmö FF;IFK Norrköping;3;1
Kalmar FF;Jönköpings Södra;0;1
BK Häcken;IF Elfsborg;2;1
Gefle IF;Helsingborgs IF;1;1
AIK;GIF Sundsvall;1;1
Örebro SK;Djurgårdens IF;0;2
Falkenbergs FF;IFK Göteborg;0;2
Hammarby IF;Östersunds FK;1;1
IFK Norrköping;Kalmar FF;4;1
Jönköpings Södra;Malmö FF;3;2
IFK Göteborg;BK Häcken;1;0
GIF Sundsvall;Gefle IF;1;2
Östersunds FK;AIK;0;2
Helsingborgs IF;Örebro SK;1;3
IF Elfsborg;Hammarby IF;4;1
Djurgårdens IF;Falkenbergs FF;5;0
BK Häcken;IFK Norrköping;1;2
Hammarby IF;Helsingborgs IF;5;1
Gefle IF;Djurgårdens IF;1;2
Kalmar FF;IF Elfsborg;3;2
Falkenbergs FF;Östersunds FK;1;2
Örebro SK;Jönköpings Södra;2;1
Malmö FF;GIF Sundsvall;1;2
AIK;IFK Göteborg;3;3
Östersunds FK;BK Häcken;2;1
Helsingborgs IF;Falkenbergs FF;3;1
IFK Norrköping;AIK;4;1
Jönköpings Södra;Gefle IF;1;0
IFK Göteborg;Kalmar FF;1;1
GIF Sundsvall;Örebro SK;3;1
IF Elfsborg;Malmö FF;0;1
Djurgårdens IF;Hammarby IF;1;3
Falkenbergs FF;IFK Norrköping;2;1
Hammarby IF;Jönköpings Södra;1;1
Gefle IF;Östersunds FK;0;0
Malmö FF;Djurgårdens IF;1;0
BK Häcken;GIF Sundsvall;0;1
Örebro SK;IFK Göteborg;3;2
Kalmar FF;Helsingborgs IF;2;3
AIK;IF Elfsborg;2;1
IFK Norrköping;Hammarby IF;3;1
Östersunds FK;Örebro SK;2;4
Jönköpings Södra;Falkenbergs FF;1;1
IFK Göteborg;Malmö FF;0;3
GIF Sundsvall;Kalmar FF;1;1
Helsingborgs IF;AIK;2;1
BK Häcken;Gefle IF;6;1
IF Elfsborg;Djurgårdens IF;3;0
Falkenbergs FF;IF Elfsborg;1;2
Malmö FF;BK Häcken;3;0
Hammarby IF;GIF Sundsvall;1;1
IFK Norrköping;Helsingborgs IF;3;0
Kalmar FF;Örebro SK;3;2
Gefle IF;IFK Göteborg;2;6
Djurgårdens IF;Östersunds FK;3;0
AIK;Jönköpings Södra;0;0
Östersunds FK;Kalmar FF;1;0
IF Elfsborg;Gefle IF;2;0
Jönköpings Södra;IFK Norrköping;0;2
Helsingborgs IF;Malmö FF;2;1
BK Häcken;AIK;2;3
GIF Sundsvall;Falkenbergs FF;2;1
Örebro SK;Hammarby IF;3;2
IFK Göteborg;Djurgårdens IF;2;1
Jönköpings Södra;Helsingborgs IF;1;1
Malmö FF;Gefle IF;3;0
Kalmar FF;Hammarby IF;1;1
Örebro SK;IF Elfsborg;1;0
IFK Norrköping;GIF Sundsvall;3;1
Östersunds FK;IFK Göteborg;2;0
Falkenbergs FF;BK Häcken;1;4
AIK;Djurgårdens IF;2;0
GIF Sundsvall;IF Elfsborg;1;3
Helsingborgs IF;Östersunds FK;1;1
Hammarby IF;Malmö FF;2;3
BK Häcken;Jönköpings Södra;3;1
IFK Göteborg;IFK Norrköping;1;1
Gefle IF;Örebro SK;0;4
Djurgårdens IF;Kalmar FF;0;3
Falkenbergs FF;AIK;2;3
GIF Sundsvall;Östersunds FK;5;0
Örebro SK;IFK Norrköping;2;2
Kalmar FF;BK Häcken;1;1
IF Elfsborg;Jönköpings Södra;3;3
Djurgårdens IF;Helsingborgs IF;3;0
Malmö FF;Falkenbergs FF;2;0
IFK Göteborg;Hammarby IF;2;1
Gefle IF;AIK;0;1
